,BETA,Total loss,Reconstruction (MSE),KL div,Test MAE,Epochs,Training time,Activation,Batch size,Saved as,Seed,Output nodes
0,0.0005,0.021839947,0.0024243093,38.831272,0.045184717,30,1 mins 45s,swish,100,BETA=0.0005_epochs=30_seed=0_output_nodes=1.hdf5,0,1
1,0.0005,0.01535438,0.0021803102,26.34814,0.0354701,60,3 mins 25s,swish,100,BETA=0.0005_epochs=60_seed=0_output_nodes=1.hdf5,0,1
2,0.0005,0.011392733,0.0020421853,18.701096,0.033677075,90,5 mins 5s,swish,100,BETA=0.0005_epochs=90_seed=0_output_nodes=1.hdf5,0,1
3,0.0005,0.009031154,0.0011905626,15.681184,0.028323885,120,6 mins 46s,swish,100,BETA=0.0005_epochs=120_seed=0_output_nodes=1.hdf5,0,1
4,0.0005,0.0068003717,0.0015339694,10.532804,0.026450604,300,16 mins 47s,swish,100,BETA=0.0005_epochs=300_seed=0_output_nodes=1.hdf5,0,1
5,0.0005,0.005407643,0.0012095158,8.396254,0.028148418,600,33 mins 8s,swish,100,BETA=0.0005_epochs=600_seed=0_output_nodes=1.hdf5,0,1
6,0.0005,0.005599235,0.0016181285,7.962213,0.027506545,800,44 mins 1s,swish,100,BETA=0.0005_epochs=800_seed=0_output_nodes=1.hdf5,0,1
7,0.0005,0.00471273,0.0006905919,8.044276,0.019944653,1000,54 mins 58s,swish,100,BETA=0.0005_epochs=1000_seed=0_output_nodes=1.hdf5,0,1
8,0.0005,0.004901928,0.0008847612,8.034333,0.022508914,1200,65 mins 56s,swish,100,BETA=0.0005_epochs=1200_seed=0_output_nodes=1.hdf5,0,1
9,0.0005000000237487257,0.03416742384433746,0.011906704865396023,44.52144241333008,0.08744730800390244,30,2 mins 5s,swish,100,BETA=0.0005_epochs=30_seed=0_output_nodes=2.hdf5,0,2
10,0.0005000000237487257,0.023018117994070053,0.006077783647924662,33.88066864013672,0.0599471814930439,60,4 mins 12s,swish,100,BETA=0.0005_epochs=60_seed=0_output_nodes=2.hdf5,0,2
11,0.0005000000237487257,0.017682267352938652,0.003307320410385728,28.74989891052246,0.0496089905500412,90,6 mins 24s,swish,100,BETA=0.0005_epochs=90_seed=0_output_nodes=2.hdf5,0,2
12,0.0005000000237487257,0.016192084178328514,0.0031218414660543203,26.140483856201172,0.04109114408493042,120,8 mins 35s,swish,100,BETA=0.0005_epochs=120_seed=0_output_nodes=2.hdf5,0,2
13,0.0005000000237487257,0.007939957082271576,0.0013424886856228113,13.19493579864502,0.02987259440124035,300,21 mins 24s,swish,100,BETA=0.0005_epochs=300_seed=0_output_nodes=2.hdf5,0,2
14,0.0005000000237487257,0.005385064985603094,0.0009628334664739668,8.844463348388672,0.024192510172724724,600,42 mins 37s,swish,100,BETA=0.0005_epochs=600_seed=0_output_nodes=2.hdf5,0,2
15,0.0005000000237487257,0.005171936936676502,0.0010238437680527568,8.296185493469238,0.02538132295012474,800,56 mins 37s,swish,100,BETA=0.0005_epochs=800_seed=0_output_nodes=2.hdf5,0,2
16,0.0005000000237487257,0.005322216544300318,0.0012482268502935767,8.147978782653809,0.027111006900668144,1000,70 mins 27s,swish,100,BETA=0.0005_epochs=1000_seed=0_output_nodes=2.hdf5,0,2
17,0.0005000000237487257,0.004857686813920736,0.0009510672534815967,7.813238620758057,0.021923910826444626,1200,84 mins 19s,swish,100,BETA=0.0005_epochs=1200_seed=0_output_nodes=2.hdf5,0,2
