,Output nodes,Seed,Test MAE,KL div,Active Units
0,1.0,0.0,0.004587810977374702,1.71969473361969,1.0
1,1.0,1.0,0.004292676519715969,1.6767011880874634,1.0
2,1.0,2.0,0.006290215780677782,1.6572228670120241,1.0
3,1.0,3.0,0.004229467545967629,1.727845549583435,1.0
4,1.0,4.0,0.002573314462342644,1.7295995950698853,1.0
5,2.0,0.0,0.013592983126882835,1.700472712516785,2.0
6,2.0,1.0,0.015038332907368371,1.7681089639663696,2.0
7,2.0,2.0,0.015251519288104204,1.7377324104309082,2.0
8,2.0,3.0,0.013799839745413595,1.7441097497940063,2.0
9,2.0,4.0,0.01484094188293437,1.7978109121322632,2.0
10,5.0,0.0,0.01232508120504445,1.6466330289840698,2.0
11,5.0,1.0,0.014761653447644263,1.6259629726409912,2.0
12,5.0,2.0,0.012752513138517524,1.6231708526611328,2.0
13,5.0,3.0,0.012228505626721115,1.6338093280792236,2.0
14,5.0,4.0,0.014011487762185807,1.6181520223617554,2.0
15,10.0,0.0,0.012623029868254209,2.422438621520996,2.0
16,10.0,1.0,0.013386677687488843,2.4441561698913574,2.0
17,10.0,2.0,0.012509526517909209,2.427906036376953,2.0
18,10.0,3.0,0.012816764100283573,2.436645269393921,2.0
19,10.0,4.0,0.010005084983969063,2.4322385787963867,2.0
20,25.0,0.0,0.010809062549673759,2.4864206314086914,2.0
21,25.0,1.0,0.01043080732449253,2.496805191040039,2.0
22,25.0,2.0,0.009891239894873812,2.505375385284424,2.0
23,25.0,3.0,0.01002360972816802,2.4588449001312256,2.0
24,25.0,4.0,0.01069724494857993,2.4497275352478027,2.0
25,50.0,0.0,0.01077245186549078,2.5165514945983887,2.0
26,50.0,1.0,0.011506623058140234,2.494581699371338,2.0
27,50.0,2.0,0.011951077421195578,2.547783613204956,2.0
28,50.0,3.0,0.009539078317036657,2.5070054531097408,2.0
29,50.0,4.0,0.009429385787214462,2.4872403144836426,2.0
