,Output nodes,Seed,Test MAE,KL div,Active Units
0,1.0,0.0,0.020569256092631973,2.523494243621826,2.0
1,1.0,1.0,0.011471797921140873,2.5022411346435547,2.0
2,1.0,2.0,0.012237930512732597,2.6658594608306885,2.0
3,1.0,3.0,0.013186108902395665,2.546739101409912,2.0
4,1.0,4.0,0.015098851763483813,2.4669721126556396,2.0
5,2.0,0.0,0.016589821285094133,2.5504794120788574,2.0
6,2.0,1.0,0.01700139760156141,2.6160802841186523,2.0
7,2.0,2.0,0.014150033963285293,2.608853340148926,2.0
8,2.0,3.0,0.018107377495796873,2.5784308910369873,2.0
9,2.0,4.0,0.015466294131925082,2.5723187923431396,2.0
10,5.0,0.0,0.020739805541593367,2.5342366695404053,2.0
11,5.0,1.0,0.02509220669496999,2.5379364490509033,2.0
12,5.0,2.0,0.023001915441120426,2.610523223876953,2.0
13,5.0,3.0,0.022004021742196674,2.5920801162719727,2.0
14,5.0,4.0,0.02310256270567531,2.5481817722320557,2.0
15,10.0,0.0,0.05238053632750337,1.9678242206573486,1.0
16,10.0,1.0,0.053358639318496444,1.9616904258728027,1.0
17,10.0,2.0,0.05051827768698903,2.0899999141693115,1.0
18,10.0,3.0,0.05460633816732823,1.9333163499832153,1.0
19,10.0,4.0,0.051670898125548946,1.95401132106781,1.0
20,25.0,0.0,0.11012109027980536,1.5809788703918457,1.0
21,25.0,1.0,0.10411596400281312,1.6232043504714966,1.0
22,25.0,2.0,0.10154499997570582,1.5897208452224731,1.0
23,25.0,3.0,0.11049982441021852,1.6451869010925293,1.0
24,25.0,4.0,0.106738758784494,1.6033985614776611,1.0
25,50.0,0.0,0.19840081730753212,0.923652708530426,1.0
26,50.0,1.0,0.16682339216508824,1.118168830871582,1.0
27,50.0,2.0,0.18757741223657942,1.0335431098937988,1.0
28,50.0,3.0,0.1668534622689966,1.1643975973129272,1.0
29,50.0,4.0,0.19627037050030294,0.9796512722969055,1.0
