,Output nodes,Seed,Test MAE,KL div,Active Units,Pearson k,Pearson omega
0,1.0,0.0,0.009891957680861176,2.535855531692505,2.0,-0.9978317684868381,-0.9988281329872415
1,2.0,0.0,0.013294136460387025,2.575288772583008,2.0,0.9982780000462786,0.9992483157144284
2,5.0,0.0,0.014738322542942831,2.62575626373291,2.0,0.9981674919863577,0.9992934487066949
3,10.0,0.0,0.022216333009185595,2.5875556468963623,2.0,0.9960638064849006,0.9987582878129141
4,25.0,0.0,0.0913388935613789,1.7580260038375854,1.0,0.990912488752167,0.9950886426475365
5,50.0,0.0,0.2163783258996787,0.6972934603691101,1.0,0.9923707249474503,0.99419838842432
