,Output nodes,Seed,Test MAE,KL div,Active Units
0,1.0,0.0,0.004009589766066316,1.6902601718902588,1.0
1,2.0,0.0,0.012513084763567604,1.7372695207595825,2.0
2,5.0,0.0,0.012409080936335677,1.6098068952560425,2.0
3,10.0,0.0,0.009353030096456431,2.3905835151672363,2.0
4,25.0,0.0,0.008841645876301119,2.4803943634033203,2.0
5,50.0,0.0,0.008461538012925327,2.5092577934265137,2.0
