,BETA,Total loss,Reconstruction (MSE),KL div,Test MAE,Epochs,Training time,Activation,Batch size,Saved as,Seed,Output nodes
0,0.01,0.104968525,0.018172922,8.679561,0.09876899,30,2 mins 4s,swish,100,BETA=0.01_epochs=30_seed=0_output_nodes=1.hdf5,0,1
1,0.01,0.07256752,0.011668937,6.089859,0.08249761,60,4 mins 11s,swish,100,BETA=0.01_epochs=60_seed=0_output_nodes=1.hdf5,0,1
2,0.01,0.06863062,0.013499529,5.5131097,0.085013375,90,6 mins 16s,swish,100,BETA=0.01_epochs=90_seed=0_output_nodes=1.hdf5,0,1
3,0.01,0.06438611,0.01373762,5.064849,0.08731957,120,8 mins 20s,swish,100,BETA=0.01_epochs=120_seed=0_output_nodes=1.hdf5,0,1
4,0.01,0.06172918,0.011695542,5.003364,0.087104626,300,21 mins 0s,swish,100,BETA=0.01_epochs=300_seed=0_output_nodes=1.hdf5,0,1
5,0.01,0.06396587,0.01432923,4.9636636,0.07866921,600,41 mins 49s,swish,100,BETA=0.01_epochs=600_seed=0_output_nodes=1.hdf5,0,1
6,0.0099999997764825,0.1191501691937446,0.0482336916029453,7.091647148132324,0.1275395303964615,30,2 mins 1s,swish,100,BETA=0.01_epochs=30_seed=0_output_nodes=2.hdf5,0,2
7,0.0099999997764825,0.0799244865775108,0.0172140877693891,6.2710394859313965,0.0950166881084442,60,4 mins 3s,swish,100,BETA=0.01_epochs=60_seed=0_output_nodes=2.hdf5,0,2
8,0.0099999997764825,0.077589213848114,0.0189716089516878,5.861759662628174,0.1040927320718765,90,6 mins 5s,swish,100,BETA=0.01_epochs=90_seed=0_output_nodes=2.hdf5,0,2
9,0.0099999997764825,0.0678723752498626,0.0160087384283542,5.18636417388916,0.0971670746803283,120,8 mins 6s,swish,100,BETA=0.01_epochs=120_seed=0_output_nodes=2.hdf5,0,2
10,0.0099999997764825,0.0637907013297081,0.0139113459736108,4.987936496734619,0.091504268348217,300,20 mins 25s,swish,100,BETA=0.01_epochs=300_seed=0_output_nodes=2.hdf5,0,2
11,0.0099999997764825,0.0647548660635948,0.0141837252303957,5.0571136474609375,0.0920449346303939,600,41 mins 9s,swish,100,BETA=0.01_epochs=600_seed=0_output_nodes=2.hdf5,0,2
12,0.009999999776482582,0.24374505877494812,0.1414821445941925,10.226289749145508,0.27686524391174316,30,2 mins 2s,swish,100,BETA=0.01_epochs=30_seed=0_output_nodes=5.hdf5,0,5
13,0.009999999776482582,0.12551121413707733,0.050374794751405716,7.513641834259033,0.16593146324157715,60,4 mins 5s,swish,100,BETA=0.01_epochs=60_seed=0_output_nodes=5.hdf5,0,5
14,0.009999999776482582,0.09945601224899292,0.03264690935611725,6.680910587310791,0.1359976828098297,90,6 mins 8s,swish,100,BETA=0.01_epochs=90_seed=0_output_nodes=5.hdf5,0,5
15,0.009999999776482582,0.0960269570350647,0.03107229433953762,6.495466232299805,0.12494339048862457,120,8 mins 13s,swish,100,BETA=0.01_epochs=120_seed=0_output_nodes=5.hdf5,0,5
16,0.009999999776482582,0.07266707718372345,0.017417121678590775,5.524995803833008,0.09797270596027374,300,20 mins 47s,swish,100,BETA=0.01_epochs=300_seed=0_output_nodes=5.hdf5,0,5
17,0.009999999776482582,0.06458105891942978,0.014522328972816467,5.005873203277588,0.09522048383951187,600,41 mins 51s,swish,100,BETA=0.01_epochs=600_seed=0_output_nodes=5.hdf5,0,5
