,BETA,Total loss,Reconstruction (MSE),KL div,Test MAE,Epochs,Training time,Activation,Batch size,Saved as,Seed,Output nodes
0,0.004999999888241291,0.04556406661868096,0.006965196691453457,7.719774723052978,0.06272611021995544,30,1 mins 57s,swish,100,BETA=0.005_epochs=30_seed=0_output_nodes=25.hdf5,0,25
1,0.004999999888241291,0.043428227305412286,0.00646428018808365,7.392789363861084,0.06398812681436539,60,3 mins 58s,swish,100,BETA=0.005_epochs=60_seed=0_output_nodes=25.hdf5,0,25
2,0.004999999888241291,0.042617425322532654,0.0060491058975458145,7.313663959503174,0.0621461272239685,90,5 mins 59s,swish,100,BETA=0.005_epochs=90_seed=0_output_nodes=25.hdf5,0,25
3,0.004999999888241291,0.042312037199735635,0.006395923905074596,7.183223247528076,0.06389603763818741,120,8 mins 2s,swish,100,BETA=0.005_epochs=120_seed=0_output_nodes=25.hdf5,0,25
4,0.004999999888241291,0.0412028506398201,0.006473077926784754,6.945954322814941,0.06067074835300445,300,19 mins 59s,swish,100,BETA=0.005_epochs=300_seed=0_output_nodes=25.hdf5,0,25
5,0.004999999888241291,0.038770265877246864,0.005320741329342128,6.689905643463135,0.05707932263612747,600,40 mins 22s,swish,100,BETA=0.005_epochs=600_seed=0_output_nodes=25.hdf5,0,25
6,0.004999999888241291,0.04605533927679062,0.007391260471194982,7.732815265655518,0.0643959566950798,30,1 mins 55s,swish,100,BETA=0.005_epochs=30_seed=0_output_nodes=50.hdf5,0,50
7,0.004999999888241291,0.04765039682388306,0.010687662288546562,7.392548084259032,0.062203481793403625,60,3 mins 53s,swish,100,BETA=0.005_epochs=60_seed=0_output_nodes=50.hdf5,0,50
8,0.004999999888241291,0.04368630796670914,0.0065368362702429295,7.429893970489503,0.06145839765667915,90,5 mins 53s,swish,100,BETA=0.005_epochs=90_seed=0_output_nodes=50.hdf5,0,50
9,0.004999999888241291,0.043772052973508835,0.007332138251513244,7.287982940673827,0.06303112953901291,120,7 mins 54s,swish,100,BETA=0.005_epochs=120_seed=0_output_nodes=50.hdf5,0,50
10,0.004999999888241291,0.04016326740384102,0.005708727519959211,6.890908241271973,0.061113528907299035,300,19 mins 43s,swish,100,BETA=0.005_epochs=300_seed=0_output_nodes=50.hdf5,0,50
11,0.004999999888241291,0.03959082439541817,0.006363122258335352,6.6455397605896,0.0581292062997818,600,39 mins 40s,swish,100,BETA=0.005_epochs=600_seed=0_output_nodes=50.hdf5,0,50
12,0.004999999888241291,0.01987004280090332,0.0027038906700909138,3.43323016166687,0.04543337970972061,30,1 mins 53s,swish,100,BETA=0.005_epochs=30_seed=0_output_nodes=1.hdf5,0,1
13,0.004999999888241291,0.01964150182902813,0.0025892918929457664,3.410442352294922,0.04519199952483177,60,3 mins 49s,swish,100,BETA=0.005_epochs=60_seed=0_output_nodes=1.hdf5,0,1
14,0.004999999888241291,0.01966308616101741,0.0026637220289558172,3.3998727798461914,0.04018799215555191,90,5 mins 46s,swish,100,BETA=0.005_epochs=90_seed=0_output_nodes=1.hdf5,0,1
15,0.004999999888241291,0.019647805020213127,0.002763811033219099,3.3767988681793213,0.03955472633242607,120,7 mins 40s,swish,100,BETA=0.005_epochs=120_seed=0_output_nodes=1.hdf5,0,1
16,0.004999999888241291,0.019455179572105408,0.002573866397142411,3.3762624263763428,0.041289590299129486,300,19 mins 34s,swish,100,BETA=0.005_epochs=300_seed=0_output_nodes=1.hdf5,0,1
17,0.004999999888241291,0.019610818475484848,0.002560010412707925,3.4101619720458984,0.04189664870500565,600,39 mins 16s,swish,100,BETA=0.005_epochs=600_seed=0_output_nodes=1.hdf5,0,1
18,0.004999999888241291,0.036319732666015625,0.0057306052185595036,6.117824554443359,0.060024097561836236,30,1 mins 49s,swish,100,BETA=0.005_epochs=30_seed=0_output_nodes=2.hdf5,0,2
19,0.004999999888241291,0.03422987088561058,0.005902236793190241,5.66552734375,0.060849379748106,60,3 mins 39s,swish,100,BETA=0.005_epochs=60_seed=0_output_nodes=2.hdf5,0,2
