,Output nodes,Seed,Test MAE,KL div,Active Units
0,1.0,0.0,0.004587810773973849,1.7196944952011108,1.0
1,1.0,1.0,0.004292676172518909,1.6767011880874634,1.0
2,1.0,2.0,0.006290215431245548,1.657223105430603,1.0
3,1.0,3.0,0.00422946638544657,1.7278450727462769,1.0
4,1.0,4.0,0.0025733127025155053,1.7295995950698853,1.0
5,2.0,0.0,0.01359298229826186,1.7004724740982056,2.0
6,2.0,1.0,0.015038331472974443,1.7681089639663696,2.0
7,2.0,2.0,0.015251518211122778,1.737731695175171,2.0
8,2.0,3.0,0.013799840803262162,1.7441099882125854,2.0
9,2.0,4.0,0.014840941603328047,1.7978109121322632,2.0
10,5.0,0.0,0.01232508307982939,1.6466331481933594,2.0
11,5.0,1.0,0.01476165251798876,1.6259628534317017,2.0
12,5.0,2.0,0.012752511978266549,1.6231708526611328,2.0
13,5.0,3.0,0.01222850681763589,1.6338093280792236,2.0
14,5.0,4.0,0.014011490390650529,1.6181519031524658,2.0
15,10.0,0.0,0.012623028309932689,2.4224393367767334,2.0
16,10.0,1.0,0.013386677739435547,2.4441561698913574,2.0
17,10.0,2.0,0.01250952434261529,2.427905797958374,2.0
18,10.0,3.0,0.012816766482830234,2.436645030975342,2.0
19,10.0,4.0,0.01000508561782255,2.4322385787963867,2.0
20,25.0,0.0,0.010809064497006166,2.4864211082458496,2.0
21,25.0,1.0,0.01043080714998876,2.4968042373657227,2.0
22,25.0,2.0,0.00989123913277162,2.505375623703003,2.0
23,25.0,3.0,0.010023608996445789,2.458845376968384,2.0
24,25.0,4.0,0.010697245624009658,2.449727773666382,2.0
25,50.0,0.0,0.01077245150885908,2.5165517330169678,2.0
26,50.0,1.0,0.0115066222838932,2.494581460952759,2.0
27,50.0,2.0,0.01195107811467816,2.547783136367798,2.0
28,50.0,3.0,0.009539078971040706,2.5070059299468994,2.0
29,50.0,4.0,0.009429386636927101,2.4872403144836426,2.0
